"long","lat","seal","date","local","lq"
158.9466667,-54.49333333,"b284","21-Jan-99","13:43:51","A"
155.2533333,-54.42833333,"b284","21-Jan-99","15:18:53","B"
155.84,-56.30833333,"b284","23-Jan-99","16:45:51","B"
159.385,-56.10166667,"b284","23-Jan-99","13:03:35","B"
159.965,-58.35333333,"b284","25-Jan-99","16:19:17","B"
158.8916667,-57.99,"b284","25-Jan-99","4:45:15","B"
158.0333333,-59.18333333,"b284","26-Jan-99","16:10:53","B"
165.23,-55.86666667,"b284","26-Jan-99","4:38:48","B"
160.5283333,-60.455,"b284","27-Jan-99","14:14:22","B"
159.2683333,-60.06833333,"b284","27-Jan-99","6:03:22","A"
159.2683333,-60.06833333,"b284","27-Jan-99","6:03:22","A"
159.7216667,-61.52333333,"b284","28-Jan-99","15:49:12","B"
159.735,-60.97166667,"b284","28-Jan-99","4:10:55","B"
160.3433333,-62.35666667,"b284","29-Jan-99","13:54:32","B"
160.0433333,-62.53166667,"b284","29-Jan-99","17:26:55","B"
160.0316667,-63.04166667,"b284","30-Jan-99","18:41:50","A"
159.53,-63.73166667,"b284","31-Jan-99","15:16:10","B"
162.5983333,-64.39333333,"b284","1-Feb-99","16:43:55","A"
162.0383333,-65.11833333,"b284","1-Feb-99","18:03:14","B"
161.3416667,-64.75166667,"b284","1-Feb-99","13:07:29","B"
162.6666667,-65.79666667,"b284","2-Feb-99","14:18:01","B"
162.915,-64.97333333,"b284","2-Feb-99","3:16:35","B"
162.3633333,-65.25,"b284","2-Feb-99","4:55:46","A"
161.7116667,-65.35666667,"b284","2-Feb-99","6:37:46","B"
161.08,-66.91666667,"b284","3-Feb-99","16:26:24","B"
163.1483333,-66.35666667,"b284","3-Feb-99","3:00:07","A"
161.985,-66.32333333,"b284","3-Feb-99","6:26:08","B"
164.0666667,-66.70333333,"b284","4-Feb-99","13:33:33","B"
162.89,-67.03166667,"b284","4-Feb-99","4:25:29","B"
163.63,-66.89666667,"b284","4-Feb-99","6:11:24","B"
164.1416667,-68.06666667,"b284","5-Feb-99","13:16:34","B"
164.3216667,-67.98833333,"b284","5-Feb-99","18:12:00","1"
163.9316667,-67.73333333,"b284","5-Feb-99","2:36:56","B"
164.6633333,-67.50333333,"b284","5-Feb-99","4:21:46","A"
164.8333333,-67.52166667,"b284","5-Feb-99","5:59:54","B"
157.9566667,-66.75666667,"b284","6-Feb-99","2:29:41","B"
167.4416667,-70.15666667,"b284","8-Feb-99","13:50:55","B"
167.3633333,-69.61333333,"b284","8-Feb-99","17:09:14","B"
166.9166667,-69.16666667,"b284","8-Feb-99","2:03:06","0"
166.86,-69.17833333,"b284","8-Feb-99","3:44:30","1"
166.8316667,-70.29666667,"b284","9-Feb-99","1:48:13","B"
170.0366667,-70.82166667,"b284","10-Feb-99","14:43:00","A"
171.52,-71.10333333,"b284","10-Feb-99","16:41:21","B"
170.1983333,-70.96333333,"b284","10-Feb-99","18:02:49","A"
170.7016667,-70.57666667,"b284","10-Feb-99","3:25:06","B"
170.8983333,-68.44666667,"b284","10-Feb-99","6:38:56","B"
169.8216667,-70.57833333,"b284","11-Feb-99","13:06:56","B"
166.7666667,-69.31833333,"b284","11-Feb-99","14:15:51","B"
167.4066667,-71.40666667,"b284","11-Feb-99","14:57:53","B"
170.5966667,-71.265,"b284","11-Feb-99","16:01:32","B"
169.3766667,-71.365,"b284","11-Feb-99","16:39:12","B"
168.9833333,-70.74333333,"b284","11-Feb-99","17:39:17","B"
170.825,-71.12,"b284","11-Feb-99","1:29:12","B"
170.7866667,-71.33833333,"b284","11-Feb-99","3:11:04","A"
171.4366667,-71.55,"b284","12-Feb-99","4:40:45","B"
164.0683333,-70.435,"b284","12-Feb-99","12:56:42","B"
169.2016667,-71.435,"b284","13-Feb-99","12:48:18","B"
171.9316667,-72.15333333,"b284","13-Feb-99","14:31:33","B"
172.3816667,-72.34666667,"b284","13-Feb-99","15:18:02","A"
172.2716667,-72.30166667,"b284","13-Feb-99","18:36:12","1"
172.4716667,-72.34833333,"b284","14-Feb-99","13:16:00","A"
168.7916667,-70.79166667,"b284","14-Feb-99","14:15:13","B"
171.6483333,-72.4,"b284","14-Feb-99","16:00:51","B"
172.265,-72.43,"b284","14-Feb-99","16:36:26","A"
170.0783333,-72.15666667,"b284","14-Feb-99","17:45:55","A"
175.4466667,-72.86166667,"b284","14-Feb-99","18:17:39","B"
173.04,-72.315,"b284","14-Feb-99","4:18:31","B"
172.8283333,-72.61166667,"b284","15-Feb-99","12:52:37","A"
172.8983333,-72.79333333,"b284","15-Feb-99","14:33:33","B"
172.3316667,-72.52166667,"b284","15-Feb-99","4:08:02","A"
168.3383333,-73.24666667,"b284","15-Feb-99","5:52:46","B"
172.2883333,-72.87166667,"b284","16-Feb-99","13:58:38","B"
172.825,-72.90666667,"b284","16-Feb-99","15:39:22","A"
174.3966667,-72.72833333,"b284","16-Feb-99","3:58:09","A"
174.1466667,-72.70833333,"b284","16-Feb-99","5:36:06","A"
173.2966667,-73.11166667,"b284","17-Feb-99","13:49:42","A"
174.29,-73.315,"b284","17-Feb-99","17:09:30","B"
169.61,-73.41833333,"b284","17-Feb-99","5:23:05","B"
173.5633333,-72.93166667,"b284","18-Feb-99","15:05:06","B"
174.0733333,-73.145,"b284","19-Feb-99","16:23:22","1"
175.0633333,-73.25166667,"b284","19-Feb-99","18:02:46","B"
172.7533333,-73.20333333,"b284","19-Feb-99","5:00:49","B"
175.0633333,-73.13166667,"b284","20-Feb-99","14:51:45","A"
173.2583333,-73.11166667,"b284","20-Feb-99","4:47:48","B"
173.455,-73.29666667,"b284","22-Feb-99","16:10:18","0"
164.3166667,-72.74166667,"b284","22-Feb-99","18:42:20","B"
173.1116667,-73.4,"b284","23-Feb-99","14:22:26","0"
173.0733333,-73.40666667,"b284","23-Feb-99","15:00:38","0"
173.38,-73.46333333,"b284","23-Feb-99","16:38:09","B"
176.2716667,-72.91833333,"b284","23-Feb-99","2:40:41","B"
174.7516667,-73.15833333,"b284","23-Feb-99","5:56:46","B"
172.4566667,-73.37666667,"b284","24-Feb-99","2:22:00","B"
172.9383333,-73.53666667,"b284","24-Feb-99","4:31:43","B"
173.3616667,-73.61833333,"b284","25-Feb-99","13:57:28","B"
172.6933333,-73.57833333,"b284","25-Feb-99","17:22:03","B"
173.5116667,-73.60333333,"b284","26-Feb-99","13:43:36","B"
172.7933333,-73.75,"b284","26-Feb-99","17:12:20","B"
167.825,-74.72333333,"b284","27-Feb-99","13:34:35","B"
174.0766667,-73.53666667,"b284","27-Feb-99","16:55:20","B"
173.9183333,-73.24666667,"b284","28-Feb-99","16:45:57","A"
173.4383333,-73.39,"b284","1-Mar-99","16:35:29","B"
172.1183333,-73.64166667,"b284","1-Mar-99","4:53:55","A"
173.3716667,-73.54833333,"b284","2-Mar-99","14:41:07","A"
173.2716667,-73.64333333,"b284","2-Mar-99","15:42:51","B"
176.1533333,-72.51,"b284","2-Mar-99","4:43:44","B"
175.6,-74.15666667,"b284","3-Mar-99","14:26:59","A"
172.7083333,-73.54166667,"b284","3-Mar-99","15:20:22","A"
173.0183333,-73.51,"b284","3-Mar-99","16:11:58","B"
174.265,-73.58,"b284","3-Mar-99","16:56:30","B"
172.9183333,-73.62666667,"b284","3-Mar-99","5:18:21","B"
173.4283333,-73.48833333,"b284","4-Mar-99","16:43:41","B"
173.5033333,-73.53833333,"b284","5-Mar-99","12:57:07","B"
173.2916667,-73.49666667,"b284","5-Mar-99","14:09:04","A"
173.2933333,-73.61666667,"b284","5-Mar-99","4:05:08","A"
173.325,-73.43833333,"b284","6-Mar-99","13:56:02","B"
173.7216667,-73.48166667,"b284","6-Mar-99","3:56:29","0"
175.295,-73.12833333,"b284","6-Mar-99","5:38:14","B"
173.0383333,-73.45333333,"b284","7-Mar-99","13:47:29","0"
172.475,-73.28833333,"b284","7-Mar-99","15:24:28","A"
173.7816667,-73.42166667,"b284","7-Mar-99","5:32:13","B"
173.665,-73.57,"b284","8-Mar-99","5:14:15","B"
173.2233333,-73.56333333,"b284","9-Mar-99","14:48:07","B"
173.3483333,-73.615,"b284","9-Mar-99","16:51:42","B"
173.215,-73.59666667,"b284","9-Mar-99","5:01:00","A"
173.0916667,-73.50166667,"b284","9-Mar-99","6:29:20","B"
173.51,-73.255,"b284","9-Mar-99","6:47:54","B"
171.9416667,-72.93666667,"b284","10-Mar-99","14:49:19","B"
172.9383333,-73.53833333,"b284","10-Mar-99","3:12:51","B"
173.6116667,-73.62166667,"b284","10-Mar-99","6:05:52","B"
172.1966667,-73.33166667,"b284","11-Mar-99","14:39:48","B"
172.31,-73.90333333,"b284","11-Mar-99","16:29:26","B"
173.235,-73.51333333,"b284","11-Mar-99","6:19:07","B"
173.8866667,-73.80833333,"b284","12-Mar-99","12:49:47","B"
173.0016667,-73.56666667,"b284","12-Mar-99","14:31:44","A"
171.5366667,-73.28333333,"b284","12-Mar-99","16:56:18","B"
173.3516667,-73.58666667,"b284","13-Mar-99","16:39:55","2"
173.9333333,-73.65833333,"b284","13-Mar-99","0:53:44","B"
173.1966667,-73.59166667,"b284","14-Mar-99","14:07:58","A"
172.9516667,-73.66166667,"b284","15-Mar-99","14:15:41","B"
173.1533333,-73.70166667,"b284","15-Mar-99","15:57:41","0"
174.2433333,-73.57333333,"b284","16-Mar-99","3:41:25","B"
172.6633333,-73.69833333,"b284","17-Mar-99","1:47:00","A"
172.4683333,-73.52833333,"b284","17-Mar-99","3:34:17","A"
174.0583333,-73.42833333,"b284","17-Mar-99","5:12:36","B"
173.5816667,-73.67333333,"b284","18-Mar-99","14:48:29","A"
174.0733333,-73.50666667,"b284","18-Mar-99","1:37:46","B"
173.435,-73.605,"b284","19-Mar-99","14:55:34","A"
172.8133333,-72.93,"b284","19-Mar-99","16:10:26","B"
167.13,-71.07666667,"b284","19-Mar-99","17:51:00","B"
172.3666667,-73.79333333,"b284","19-Mar-99","18:15:24","B"
175.2166667,-73.57,"b284","19-Mar-99","1:30:46","B"
173.28,-73.49333333,"b284","19-Mar-99","3:11:24","A"
172.9233333,-73.61833333,"b284","19-Mar-99","4:48:02","B"
173.5883333,-73.61333333,"b284","21-Mar-99","13:42:48","A"
177.9166667,-74.05333333,"b284","21-Mar-99","15:17:35","B"
173.6183333,-73.50166667,"b284","21-Mar-99","4:28:35","A"
176.8466667,-72.88333333,"b284","21-Mar-99","6:12:21","B"
176.2533333,-73.19833333,"b284","22-Mar-99","16:07:07","B"
171.5733333,-73.86333333,"b284","22-Mar-99","4:21:26","0"
168.33,-74.525,"b284","22-Mar-99","6:01:04","B"
173.4716667,-73.01666667,"b284","23-Mar-99","14:41:03","B"
179.2466667,-72.64333333,"b284","23-Mar-99","15:56:18","B"
173.9816667,-73.62666667,"b284","23-Mar-99","16:18:30","A"
173.8366667,-73.42666667,"b284","23-Mar-99","2:25:13","B"
171.1283333,-73.90166667,"b284","23-Mar-99","5:49:12","B"
175.7733333,-73.47333333,"b284","24-Mar-99","15:35:16","B"
174.6633333,-73.12833333,"b284","24-Mar-99","17:16:55","B"
174.5333333,-73.44666667,"b284","24-Mar-99","17:16:55","A"
172.215,-73.49333333,"b284","24-Mar-99","3:50:48","B"
174.3883333,-73.69666667,"b284","24-Mar-99","5:54:49","B"
174.7733333,-73.07666667,"b284","25-Mar-99","17:05:57","B"
177.6516667,-72.37166667,"b284","26-Mar-99","3:36:23","B"
175.0533333,-72.94,"b284","28-Mar-99","4:49:39","A"
174.495,-72.89333333,"b284","29-Mar-99","2:55:16","A"
174.8983333,-72.02333333,"b284","31-Mar-99","13:21:57","A"
174.9616667,-71.86833333,"b284","31-Mar-99","16:39:55","A"
175.5983333,-72.16,"b284","31-Mar-99","2:32:45","A"
176.9133333,-71.81666667,"b284","31-Mar-99","6:46:46","B"
175.4716667,-71.51833333,"b284","1-Apr-99","14:06:34","A"
175.1216667,-71.30833333,"b284","1-Apr-99","17:28:28","B"
174.6016667,-71.14666667,"b284","2-Apr-99","14:17:37","A"
176.5616667,-70.94333333,"b284","2-Apr-99","15:51:16","B"
172.865,-70.74333333,"b284","3-Apr-99","17:07:05","B"
174.3383333,-70.87833333,"b284","3-Apr-99","2:01:15","B"
173.3283333,-71.045,"b284","3-Apr-99","5:31:20","A"
172.8766667,-70.54666667,"b284","4-Apr-99","15:13:23","A"
173.3966667,-69.49,"b284","6-Apr-99","14:47:48","B"
173.385,-69.71666667,"b284","6-Apr-99","16:08:19","B"
173.8233333,-69.79833333,"b284","6-Apr-99","6:30:14","B"
171.5516667,-68.94666667,"b284","8-Apr-99","17:03:36","B"
172.5133333,-69.13666667,"b284","8-Apr-99","2:45:09","A"
172.5933333,-69.10666667,"b284","9-Apr-99","4:12:32","B"
169.3,-68.575,"b284","10-Apr-99","14:38:26","B"
168.0716667,-67.985,"b284","10-Apr-99","17:26:49","B"
